,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
GO:0032436,GO:0032436,positive regulation of proteasomal ubiquitin-dependent protein catabolic process,11/1349,79/28928,0.139240506,2.985877959,3.909031182,0.001068959,0.007425105,0.005782755,Plk1/Cop1/Aurka/Csnk1a1/Rack1/Rbx1/Bbs7/Nop53/Usp5/Gclc/Cdc20,11
GO:0044272,GO:0044272,sulfur compound biosynthetic process,17/1349,157/28928,0.108280255,2.321965315,3.673337424,0.001090684,0.007564682,0.005891459,Mat2a/Mettl16/Ppcs/Ext2/B3galt6/Lias/Ppcdc/Ext1/Papss1/Acly/Slc35b2/Pdha1/Gclc/Gss/Ugdh/Gclm/Hs6st1,17
GO:0003356,GO:0003356,regulation of cilium beat frequency,5/1349,18/28928,0.277777778,5.956675727,4.652336609,0.001126887,0.00779248,0.006068871,Bbs4/Cfap20/Bbs1/Mkks/Bbs2,5
GO:0060382,GO:0060382,regulation of DNA strand elongation,5/1349,18/28928,0.277777778,5.956675727,4.652336609,0.001126887,0.00779248,0.006068871,Ruvbl2/Ino80/Actl6a/Ruvbl1/Actr8,5
GO:0006890,GO:0006890,"retrograde vesicle-mediated transport, Golgi to endoplasmic reticulum",8/1349,46/28928,0.173913043,3.729396977,4.097324923,0.001175198,0.008114461,0.006319634,Cog4/Copa/Copb2/Gbf1/Use1/Scfd1/Stx5a/Bnip1,8
GO:0045876,GO:0045876,positive regulation of sister chromatid cohesion,4/1349,11/28928,0.363636364,7.797830042,4.987219035,0.001193327,0.008190885,0.006379154,Sfpq/Rad21/Smc5/Fen1,4
GO:0051469,GO:0051469,vesicle fusion with vacuole,4/1349,11/28928,0.363636364,7.797830042,4.987219035,0.001193327,0.008190885,0.006379154,Chmp6/Chmp4b/Chmp3/Chmp7,4
GO:0061763,GO:0061763,multivesicular body-lysosome fusion,4/1349,11/28928,0.363636364,7.797830042,4.987219035,0.001193327,0.008190885,0.006379154,Chmp6/Chmp4b/Chmp3/Chmp7,4
GO:0090646,GO:0090646,mitochondrial tRNA processing,4/1349,11/28928,0.363636364,7.797830042,4.987219035,0.001193327,0.008190885,0.006379154,Hsd17b10/Trnt1/Prorp/Elac2,4
GO:0032205,GO:0032205,negative regulation of telomere maintenance,7/1349,36/28928,0.194444444,4.169673009,4.20867436,0.001199672,0.008210142,0.006394151,Hnrnpu/Nat10/Ten1/Tinf2/Gnl3l/Ctc1/Exosc10,7
GO:0061842,GO:0061842,microtubule organizing center localization,7/1349,36/28928,0.194444444,4.169673009,4.20867436,0.001199672,0.008210142,0.006394151,Aurka/Spout1/Ranbp2/Ift20/Mad2l1/Cep83/Nubp1,7
GO:1904263,GO:1904263,positive regulation of TORC1 signaling,9/1349,57/28928,0.157894737,3.385899887,3.987742861,0.001210555,0.008272422,0.006442656,Mat2a/Ogt/Csnk1a1/Sec13/Rbx1/Lamtor4/Prmt1/Cul3/Lamtor2,9
GO:0016050,GO:0016050,vesicle organization,32/1349,385/28928,0.083116883,1.782361153,3.417875579,0.001230488,0.008396274,0.006539113,Trappc1/Snap23/Chmp6/Gosr2/Atp6v0c/Rab34/Atp6v1b2/Sec13/Trappc4/Atp6v1g1/Chmp4b/Snf8/Ubr4/Trappc11/Gbf1/Cul3/Atp6v1d/Cplane2/Usp8/Atp6v0d1/Exoc8/Trappc5/Sec16a/Tsg101/Fbxo5/Preb/C2cd5/Chmp3/Chmp7/Ptbp1/Stx5a/Trappc3,32
GO:0035264,GO:0035264,multicellular organism growth,23/1349,246/28928,0.093495935,2.004929879,3.500797676,0.001267152,0.008633752,0.006724064,Ptpn11/Smo/Fxn/Stil/Rbbp6/Bbs4/Ext1/Hdac3/Mtor/Dicer1/Sco1/Pik3ca/Zfx/Nipbl/Hmga1/Sod1/Mkks/Bbs2/Cox10/Ttc8/Coa5/Ctc1/Taf10,23
GO:0039694,GO:0039694,viral RNA genome replication,6/1349,27/28928,0.222222222,4.765340582,4.329105078,0.001293462,0.008800093,0.006853612,Ddx56/Top2a/Tmem41b/Trim28/Resf1/Smarcb1,6
GO:0048255,GO:0048255,mRNA stabilization,10/1349,69/28928,0.144927536,3.107830814,3.87693099,0.001303638,0.008856338,0.006897416,Srsf1/Mettl16/Hnrnpu/Pabpc1/Tardbp/Mtor/Dicer1/Mettl14/Nrde2/Ptbp1,10
GO:0070646,GO:0070646,protein modification by small protein removal,14/1349,119/28928,0.117647059,2.522827367,3.681531129,0.001316045,0.008927559,0.006952883,Psmd14/Nop53/Usp9x/Cops3/Usp5/Usp8/Uspl1/Cops6/Cops4/Bap1/Usp7/Otud6b/Usp39/Usp36,14
GO:0061982,GO:0061982,meiosis I cell cycle process,16/1349,146/28928,0.109589041,2.350030972,3.616829953,0.001327798,0.008994133,0.007004732,Plk1/Rad51/Aurka/Topbp1/Ndc80/Top2a/Pkmyt1/Espl1/Knl1/Rad51c/Birc5/Rad51d/Psmd13/Fbxo5/BC005624/Cdc20,16
GO:0043488,GO:0043488,regulation of mRNA stability,18/1349,174/28928,0.103448276,2.218348202,3.565047591,0.001339607,0.009060896,0.007056728,Srsf1/Polr2g/Upf1/Brf1/Mettl16/Pnpt1/Pcid2/Hnrnpu/Pabpc1/Tardbp/Mtor/Dicer1/Mettl14/Nrde2/Dhx36/Ptbp1/Ago2/Cnot3,18
GO:1903321,GO:1903321,negative regulation of protein modification by small protein conjugation or removal,12/1349,94/28928,0.127659574,2.737536079,3.731760179,0.001404805,0.00948806,0.007389408,Ogt/Rps7/Rps3/Rpl5/Gtpbp4/Mtor/Mad2l1/Gclc/U2af2/Fbxo5/Gnl3l/Caml,12
GO:0019682,GO:0019682,glyceraldehyde-3-phosphate metabolic process,5/1349,19/28928,0.263157895,5.643166478,4.477575695,0.001471032,0.009877843,0.007692975,Rpe/Tkt/Tpi1/Slc25a10/Gapdh,5
GO:0061952,GO:0061952,midbody abscission,5/1349,19/28928,0.263157895,5.643166478,4.477575695,0.001471032,0.009877843,0.007692975,Chmp6/Chmp4b/Kif20a/Chmp3/Chmp7,5
GO:0070525,GO:0070525,tRNA threonylcarbamoyladenosine metabolic process,5/1349,19/28928,0.263157895,5.643166478,4.477575695,0.001471032,0.009877843,0.007692975,Hsd17b10/Yrdc/Trp53rka/Osgep/Tprkb,5
