"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0042800","GO:0042800","histone H3K4 methyltransferase activity","5/1306","20/28409",0.25,5.43816998468606,4.35840032178427,0.00177113429774229,0.00987907484582005,0.00692407207238908,"Wdr5/Kmt2b/Setd1a/Ash2l/Kmt2a",5
"GO:0004693","GO:0004693","cyclin-dependent protein serine/threonine kinase activity","6/1306","29/28409",0.206896551724138,4.50055447008502,4.14011951970496,0.00178235345607014,0.00987907484582005,0.00692407207238908,"Cdk1/Cdk12/Cdk9/Ccnk/Cdk7/Ccnh",6
"GO:0097472","GO:0097472","cyclin-dependent protein kinase activity","6/1306","29/28409",0.206896551724138,4.50055447008502,4.14011951970496,0.00178235345607014,0.00987907484582005,0.00692407207238908,"Cdk1/Cdk12/Cdk9/Ccnk/Cdk7/Ccnh",6
"GO:0000217","GO:0000217","DNA secondary structure binding","7/1306","39/28409",0.179487179487179,3.90432716849256,3.9841108072983,0.0018040049718454,0.00987907484582005,0.00692407207238908,"Smc6/Men1/Rad51c/Clspn/Rad51d/Smc5/Hmga1",7
"GO:0042162","GO:0042162","telomeric DNA binding","7/1306","39/28409",0.179487179487179,3.90432716849256,3.9841108072983,0.0018040049718454,0.00987907484582005,0.00692407207238908,"Upf1/Rpa2/Telo2/Ten1/Tinf2/Smg1/Ctc1",7
"GO:0008408","GO:0008408","3'-5' exonuclease activity","8/1306","50/28409",0.16,3.48042879019908,3.85344837401396,0.00187542453113295,0.0102007888348785,0.00714955582281123,"Rad1/Pole/Rad9a/Pnpt1/Pold1/Xrn2/Polrmt/Exosc10",8
"GO:0019887","GO:0019887","protein kinase regulator activity","22/1306","243/28409",0.0905349794238683,1.9693784306682,3.33132602052217,0.00200572366333471,0.0108362922750633,0.00759496915257791,"Ccna2/Ccnb1/Smo/Topbp1/Pak1ip1/Csnk2b/Rack1/Ccnq/Prkra/Dbf4/Ccnk/Elp3/Rptor/Ccnh/Pik3ca/Cdc37/Stk11/Prkar1a/Ccnd1/Mnat1/Ccnf/Ccnc",22
"GO:0003714","GO:0003714","transcription corepressor activity","19/1306","198/28409",0.095959595959596,2.08737837796031,3.37044529997474,0.00204342235046539,0.0109663666141642,0.00768613599894349,"Sap18/Ruvbl2/Snw1/Sin3a/Prmt5/Mybbp1a/Hnrnpu/Id2/Ddx54/Hdac3/Smarca4/Dmap1/Nipbl/Sin3b/Ccnd1/Tsg101/Zmynd8/C1qbp/Trim28",19
"GO:0019783","GO:0019783","ubiquitin-like protein peptidase activity","13/1306","113/28409",0.115044247787611,2.50252070091748,3.51301818655561,0.00208089572769672,0.011093516958913,0.00777525346842411,"Psmd14/Alg13/Eif3f/Usp9x/Usp5/Usp8/Uspl1/Bap1/Ufsp2/Usp7/Otud6b/Usp39/Usp36",13
"GO:0030331","GO:0030331","nuclear estrogen receptor binding","8/1306","51/28409",0.156862745098039,3.41218508843047,3.78478446949126,0.00213617986956197,0.0111985796449217,0.00784889008130504,"Pcna/Hsd17b10/Dcaf13/Dnmt1/Ddx54/Dcaf1/Mms19/Taf10",8
"GO:0031072","GO:0031072","heat shock protein binding","16/1306","155/28409",0.103225806451613,2.2454379291607,3.41296002889091,0.00213902244965975,0.0111985796449217,0.00784889008130504,"Cltc/Cdk1/Hspa5/Hspa9/Rps3/Hnrnpk/Telo2/Dlst/Kpnb1/Cdc37/Dnaja3/Tpr/Ogdh/Dnajc8/Ptges3/Ago2",16
"GO:0034061","GO:0034061","DNA polymerase activity","6/1306","30/28409",0.2,4.35053598774885,4.03050631487704,0.00214233697555024,0.0111985796449217,0.00784889008130504,"Pole/Pold1/Pola1/Dkc1/Polg2/Ptges3",6
