,id,num,neg.score,neg.p.value,neg.fdr,neg.rank,neg.goodsgrna,neg.lfc,pos.score,pos.p.value,pos.fdr,pos.rank,pos.goodsgrna,pos.lfc
477,Sox5,4,3.2558e-05,0.00011215,0.004743,503,4,-1.6643,0.99997,0.99997,1,20767,0,-1.6643
478,Rnf40,4,3.2667e-05,0.00011261,0.004754,504,4,-2.1373,0.99997,0.99997,1,20766,0,-2.1373
479,BC052040,4,3.2754e-05,0.00011308,0.004756,505,4,-1.7419,0.99997,0.99997,1,20765,0,-1.7419
480,Cars,4,3.2928e-05,0.00011354,0.004756,506,4,-3.13,0.99997,0.99997,1,20764,0,-3.13
481,Smc2,4,3.3147e-05,0.00011401,0.004756,507,4,-1.5266,0.99997,0.99997,1,20763,0,-1.5266
482,Telo2,4,3.3191e-05,0.00011401,0.004756,508,4,-1.7739,0.99997,0.99997,1,20762,0,-1.7739
483,Haus5,4,3.3235e-05,0.00011401,0.004756,509,4,-1.9808,0.99997,0.99997,1,20761,0,-1.9808
484,Sod2,4,3.3301e-05,0.00011401,0.004756,510,4,-1.2055,0.99997,0.99997,1,20760,0,-1.2055
485,Lias,4,3.3622e-05,0.00011588,0.004787,511,4,-1.4714,0.99997,0.99997,1,20758,0,-1.4714
486,Polr3f,4,3.3622e-05,0.00011588,0.004787,512,4,-1.6406,0.99997,0.99997,1,20759,0,-1.6406
487,Vhl,4,3.3767e-05,0.00011588,0.004787,513,4,-1.5908,0.99997,0.99997,1,20757,0,-1.5908
488,Trappc4,4,3.4012e-05,0.00011727,0.004826,514,4,-2.2762,0.99997,0.99997,1,20756,0,-2.2762
489,Hgs,4,3.4102e-05,0.00011774,0.004836,515,4,-2.5068,0.99997,0.99997,1,20755,0,-2.5068
490,Get4,4,3.4395e-05,0.00011821,0.004845,516,4,-1.7522,0.99997,0.99997,1,20754,0,-1.7522
491,Rps10,4,3.4473e-05,0.00011867,0.004846,517,4,-2.5829,0.99991,0.99992,1,20524,0,-2.5829
492,Prkra,4,3.453e-05,0.00011867,0.004846,518,4,-1.7918,0.99997,0.99997,1,20753,0,-1.7918
493,Atp6v1g1,4,3.4621e-05,0.00011914,0.004846,519,4,-1.5513,0.99997,0.99997,1,20752,0,-1.5513
494,Nup43,4,3.4656e-05,0.00011914,0.004846,520,4,-1.8349,0.99982,0.99983,1,20310,0,-1.8349
495,Cdca8,4,3.4666e-05,0.00011961,0.004847,521,4,-1.5649,0.99997,0.99997,1,20751,0,-1.5649
496,Wdr19,4,3.4712e-05,0.00011961,0.004847,522,4,-1.7957,0.99997,0.99997,1,20750,0,-1.7957
497,Eif2b5,4,3.4845e-05,0.00012007,0.004847,523,4,-3.1016,0.99987,0.99988,1,20409,0,-3.1016
498,Slu7,4,3.4848e-05,0.00012007,0.004847,524,4,-2.3452,0.99997,0.99997,1,20749,0,-2.3452
