id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
Il5	4	0.51634	0.53952	1.0	7711	1	0.10234	0.12385	0.21662	0.934456	4750	2	0.10234
Adam5	4	0.51634	0.53952	1.0	7712	1	0.15841	0.13436	0.2297	0.950899	4951	2	0.15841
Slfn5	4	0.51638	0.53955	1.0	7713	1	0.06881	0.65162	0.65495	1.0	12917	1	0.06881
Cmip	4	0.5165	0.53965	1.0	7714	1	0.19564	0.27375	0.3995	1.0	8106	2	0.19564
Olfr1506	3	0.51652	0.5186	1.0	7715	1	0.50225	0.019497	0.049529	0.77864	1315	2	0.50225
Card6	4	0.51653	0.53966	1.0	7716	1	0.11578	0.46058	0.51392	1.0	10271	1	0.11578
Fbxo4	4	0.51656	0.53969	1.0	7717	1	-0.14255	0.84987	0.84941	1.0	16390	0	-0.14255
Pnliprp1	4	0.51667	0.53977	1.0	7718	1	-0.10002	0.93554	0.93536	1.0	17924	0	-0.10002
Kmt2e	4	0.5167	0.53978	1.0	7719	1	-0.014234	0.66757	0.66931	1.0	13174	1	-0.014234
Sgta	4	0.51676	0.53983	1.0	7720	1	0.015215	0.81726	0.81694	1.0	15802	0	0.015215
Klra10	7	0.51679	0.65564	1.0	7721	2	0.0082051	0.34151	0.51927	1.0	8954	2	0.0082051
Vmn2r55	2	0.5169	0.51699	1.0	7722	0	-0.076887	0.69292	0.69267	1.0	13598	0	-0.076887
Tcf7l1	4	0.51691	0.53994	1.0	7723	1	0.041069	0.32294	0.43405	1.0	8746	1	0.041069
Ocln	4	0.51694	0.53996	1.0	7724	1	-0.033029	0.34298	0.44489	1.0	8971	1	-0.033029
Elk1	4	0.51697	0.53999	1.0	7725	1	0.31966	0.057325	0.13187	0.86939	3029	2	0.31966
NO_SITE_123	1	0.5171	0.517	1.0	7726	0	0.11956	0.4829	0.48291	1.0	10557	0	0.11956
Armc2	4	0.51711	0.54009	1.0	7727	1	0.019773	0.26285	0.38632	1.0	7889	2	0.019773
Gpr55	4	0.51726	0.5402	1.0	7728	1	0.075375	0.18445	0.29127	0.979147	6141	2	0.075375
Rrp1b	4	0.51734	0.54027	1.0	7729	1	0.26473	0.15865	0.25953	0.966258	5510	2	0.26473
Pheta2	4	0.51737	0.54029	1.0	7730	1	0.16045	0.058338	0.13393	0.86939	3078	2	0.16045
Zbtb9	4	0.5174	0.54033	1.0	7731	1	-0.24887	0.64687	0.65089	1.0	12832	1	-0.24887
Gm765	2	0.51743	0.51752	1.0	7732	0	0.13543	0.18374	0.21188	0.930994	6128	1	0.13543
Plscr4	4	0.51749	0.54041	1.0	7733	1	-0.24615	0.89668	0.89642	1.0	17188	0	-0.24615
Dynap	4	0.51755	0.54045	1.0	7734	1	-0.021076	0.83166	0.83121	1.0	16066	0	-0.021076
Fli1	4	0.51761	0.54049	1.0	7735	1	-0.041605	0.62394	0.63165	1.0	12471	1	-0.041605
NO_SITE_585	1	0.51767	0.51756	1.0	7736	0	0.29191	0.48233	0.48234	1.0	10547	0	0.29191
NO_SITE_786	1	0.51773	0.51763	1.0	7737	0	0.037646	0.48227	0.48229	1.0	10546	0	0.037646
Olfr374	4	0.51775	0.54059	1.0	7738	1	0.17901	0.23117	0.3482	0.997093	7191	2	0.17901
Ncf1	4	0.51778	0.54062	1.0	7739	1	0.12834	0.2512	0.37226	1.0	7647	2	0.12834
NO_SITE_773	1	0.51782	0.51772	1.0	7740	0	0.03087	0.48218	0.4822	1.0	10545	0	0.03087
Lrrc59	4	0.5179	0.5407	1.0	7741	1	0.080942	0.76993	0.76979	1.0	14961	0	0.080942
Vegfa	4	0.51798	0.54075	1.0	7742	1	0.27852	0.1047	0.19298	0.918859	4275	2	0.27852
Olfr1425	4	0.51801	0.54077	1.0	7743	1	0.057928	0.1869	0.29426	0.981307	6191	2	0.057928
Stau1	4	0.51804	0.54079	1.0	7744	1	0.053863	0.27021	0.39519	1.0	8035	2	0.053863
Taar3	4	0.51813	0.54086	1.0	7745	1	-0.019326	0.90498	0.90469	1.0	17333	0	-0.019326
Eps8l2	4	0.51819	0.54089	1.0	7746	1	-0.23144	0.94729	0.94727	1.0	18134	0	-0.23144
Nrsn1	4	0.51822	0.54092	1.0	7747	1	-0.037001	0.67454	0.67563	1.0	13274	1	-0.037001
Depdc7	4	0.51825	0.54094	1.0	7748	1	-0.24651	0.051201	0.11941	0.865306	2742	1	-0.24651
Cdhr2	4	0.51838	0.54104	1.0	7749	1	-0.18993	0.96195	0.96185	1.0	18447	0	-0.18993
Aldh5a1	4	0.51848	0.54111	1.0	7750	1	-0.083651	0.42661	0.493	1.0	9868	1	-0.083651
Mlph	4	0.51854	0.54116	1.0	7751	1	-0.27855	0.45026	0.5075	1.0	10149	1	-0.27855
NO_SITE_98	1	0.51856	0.51844	1.0	7752	0	0.034791	0.48144	0.48146	1.0	10536	0	0.034791
Masp2	4	0.5186	0.5412	1.0	7753	1	-0.081687	0.028623	0.071607	0.82398	1723	1	-0.081687
Olfr1274	5	0.5186	0.57943	1.0	7754	1	0.24861	0.089701	0.19373	0.918859	3902	3	0.24861
Styxl1	4	0.51862	0.54122	1.0	7755	1	-0.10645	0.26981	0.39468	1.0	8027	1	-0.10645
Jpt2	4	0.51871	0.54128	1.0	7756	1	0.34118	0.072663	0.15303	0.888437	3461	2	0.34118
Hus1b	4	0.51877	0.54133	1.0	7757	1	-0.074277	0.96217	0.96208	1.0	18450	0	-0.074277
L3mbtl3	4	0.51883	0.54137	1.0	7758	1	-0.0098859	0.55626	0.57859	1.0	11500	1	-0.0098859
Pramel22	4	0.51886	0.54139	1.0	7759	1	0.01088	0.21541	0.32907	0.993306	6835	1	0.01088
R3hdm4	4	0.51912	0.54157	1.0	7760	1	0.20785	0.16316	0.26502	0.967737	5626	2	0.20785
Parvb	4	0.51915	0.54159	1.0	7761	1	-0.09904	0.89856	0.89829	1.0	17218	0	-0.09904
Olfr9	1	0.51919	0.51906	1.0	7762	0	0.031659	0.48081	0.4808	1.0	10531	0	0.031659
Sync	4	0.51935	0.54175	1.0	7763	1	-0.087227	0.57246	0.59073	1.0	11706	1	-0.087227
Lynx1	4	0.5195	0.54186	1.0	7764	1	0.28122	0.10554	0.19405	0.918859	4291	2	0.28122
Kif5b	4	0.51952	0.54189	1.0	7765	1	-0.19393	0.96963	0.96952	1.0	18602	0	-0.19393
Focad	4	0.5197	0.54203	1.0	7766	1	-0.18159	0.96846	0.96836	1.0	18579	0	-0.18159
NO_SITE_873	1	0.51974	0.51959	1.0	7767	0	0.034551	0.48026	0.48027	1.0	10520	0	0.034551
